Story ID,Epic,Title,Acceptance Criteria Count,Black-box Scenario Count,File
FP-055,F,"Distinguish fresh, stale, empty, unavailable",2,3,06_epic_F_entur_integration_and_data_freshness.md
FP-056,F,Do not fake transport data,3,3,06_epic_F_entur_integration_and_data_freshness.md
FP-057,G,Run SurrealDB in production,3,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-058,G,Apply database migrations,3,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-059,G,Define core tables,1,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-060,G,Store station data,2,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-061,G,Store current vehicle state,1,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-062,G,Store recent vehicle observations,2,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-063,G,Store realtime events,3,3,07_epic_G_surrealdb_persistence_and_migrations.md
FP-064,H,Admin authentication,3,3,08_epic_H_admin_and_observability.md
FP-065,H,System status page,1,3,08_epic_H_admin_and_observability.md
FP-066,H,Active watches page,1,3,08_epic_H_admin_and_observability.md
FP-067,H,Entur request log page,2,3,08_epic_H_admin_and_observability.md
FP-068,H,Realtime diagnostics,1,3,08_epic_H_admin_and_observability.md
FP-069,H,Health endpoint,2,3,08_epic_H_admin_and_observability.md
FP-070,H,Structured logs,3,3,08_epic_H_admin_and_observability.md
FP-071,I,Implement generated desktop visual states,2,4,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-072,I,Implement mobile default map,2,4,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-073,I,Implement mobile station bottom sheet,1,3,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-074,I,Implement mobile station full sheet,1,3,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-075,I,Implement mobile vehicle Focus mode,1,3,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-076,I,Implement mobile vehicle lost state,1,3,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-077,I,Implement design system components,1,3,09_epic_I_frontend_visual_states_and_responsiveness.md
FP-078,J,Keep secrets server-side,3,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-079,J,Validate HTTP requests,2,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-080,J,Validate WebSocket messages,1,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-081,J,Rate-limit public users,2,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-082,J,Protect admin pages,1,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-083,J,Minimize personal data,4,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-084,J,Handle CORS and origins correctly,2,3,10_epic_J_security_abuse_prevention_and_privacy.md
FP-085,K,Deploy on Hetzner CX33 with Coolify,4,3,11_epic_K_deployment_and_operations.md
FP-086,K,Configure domain,4,3,11_epic_K_deployment_and_operations.md
FP-087,K,Run FrankenPHP HTTP app,4,3,11_epic_K_deployment_and_operations.md
FP-088,K,Run AMPHP realtime process,3,3,11_epic_K_deployment_and_operations.md
FP-089,K,Run SurrealDB with persistence,3,3,11_epic_K_deployment_and_operations.md
FP-090,K,Provide environment configuration,3,3,11_epic_K_deployment_and_operations.md
FP-091,K,Support zero/manual rollback,2,3,11_epic_K_deployment_and_operations.md
FP-092,K,Scheduled maintenance,2,3,11_epic_K_deployment_and_operations.md
FP-093,L,Static analysis passes,1,3,12_epic_L_testing_and_quality.md
FP-094,L,Unit-test Entur mappers,1,3,12_epic_L_testing_and_quality.md
FP-095,L,Unit-test realtime message validation,1,3,12_epic_L_testing_and_quality.md
FP-096,L,Integration-test watch lifecycle,1,3,12_epic_L_testing_and_quality.md
FP-097,L,Resilience-test backend and Entur recovery,4,3,12_epic_L_testing_and_quality.md
FP-098,L,Visual-test core desktop states,1,3,12_epic_L_testing_and_quality.md
FP-099,L,Visual-test mobile states,1,3,12_epic_L_testing_and_quality.md
FP-100,L,Accessibility baseline,5,3,12_epic_L_testing_and_quality.md
FP-101,L,Performance baseline,4,3,12_epic_L_testing_and_quality.md
FP-102,L,Production smoke test,1,3,12_epic_L_testing_and_quality.md
FP-103,M,Architecture documentation,1,3,13_epic_M_documentation_and_handoff.md
FP-104,M,Local development documentation,1,3,13_epic_M_documentation_and_handoff.md
FP-105,M,Deployment documentation,1,3,13_epic_M_documentation_and_handoff.md
FP-106,M,Entur usage documentation,1,3,13_epic_M_documentation_and_handoff.md
FP-107,M,UI state documentation,1,3,13_epic_M_documentation_and_handoff.md
FP-108,M,Production readiness checklist,1,3,13_epic_M_documentation_and_handoff.md
